11C	33.8020333	-111.891067
83H	37.2569833	-118.157167
43U_bin.2	37.2687167	-113.885883
48C	34.7138	-111.779283
19_10D_d_1	32.0253333	-111.559317
71H	39.2859167	-118.40975
8T	32.7554167	-114.839483
19_18A_d_2_1	34.9989333	-117.006567
19_72L_s_1	38.9018667	-118.011867
27I	36.29841667	-117.9745278
19_76H_q_1c	40.7606833	-119.488183
35J	34.4992667	-117.410617
17E	34.888	-115.721617
21A	34.0984833	-115.004933
19_86L_c_1	37.1334333	-118.058167
9F_bin.1	32.3221	-111.160783
25F	35.6738167	-118.018217
41A_bin.1	35.6619	-114.213333
4I	33.7905667	-111.902217
79H	38.0943	-118.803017
83D	37.2570333	-118.157183
72P	38.9019	-118.012183
2C	34.6886667	-113.6754
41G	35.6612667	-114.214483
9F_bin.2	32.3221	-111.160783
34A	34.7458333	-118.2416
70C	39.2901	-118.4154
69A	39.3856667	-118.858517
47H	34.6783833	-111.739483
27C	36.29841667	-117.9745278
80B	37.6801	-118.742617
46D	36.8699333	-112.324117
7C	32.6699	-114.458983
30C	35.1033667	-119.4184
43U_bin.1	37.2687167	-113.885883
1F_bin.1	35.0527667	-114.243933
76L	40.7616667	-119.488
85F	37.383	-118.183383
2I	34.69005	-113.67305
19_72L_a_1	38.9018667	-118.011867
27A	36.29841667	-117.9745278
81A	37.6961667	-118.815417
19_9F_b_1	32.3221	-111.160783
48E	34.7141833	-111.779017
81E	37.6960667	-118.81545
39E	34.3583667	-117.607367
70A	39.2901833	-118.4152
17A	34.8880833	-115.721183
49L	34.74015	-111.921733
77E	40.6104167	-119.711017
14A	33.30155	-116.266533
40H	35.8644667	-114.0777
77J_redo	40.61075	-119.70955
19_21C_e_4	34.0985	-115.004867
25B	35.6714333	-118.016417
75A	40.7175167	-119.33365
43C	37.2721667	-113.889533
54F	38.0946167	-112.243167
69F	39.3859333	-118.858117
20A	34.7638833	-115.637167
57H	42.892	-115.130683
73C_bin.3	41.1244333	-117.759983
80F	37.6803167	-118.74245
19_16A_d_b_1	34.98335	-115.649367
47F	34.67815	-111.7399
LF21_2AB2	35.329217	-115.277067
5A	34.4713833	-113.214083
19_79D_k_b_2	38.0949333	-118.804067
3C	33.8223833	-111.91755
44A	37.0515333	-113.273083
47C	34.6785167	-111.7403
8J	32.7556667	-114.839583
19_17P_pp_1a	34.8881167	-115.72145
19_71P_h_1c	39.2859333	-118.409767
76P	40.7619167	-119.488033
34B	34.7458333	-118.2416
19_25F_a_1	35.6738167	-118.018217
7Q	32.6690667	-114.45885
1F_bin.2	35.0527667	-114.243933
4E	33.7913667	-111.900267
19_6C_r_1	34.5197833	-113.1349
75H	40.71785	-119.3332
16A	34.98335	-115.649367
5L	34.47415	-113.210033
40A	35.86455	-114.077467
1D_a	35.0527	-114.24405
11D	33.80205	-111.891083
41A_bin.2	35.6619	-114.213333
84H	37.3104667	-118.180633
85I	37.38305	-118.183583
Trichopodus	32.824222	-117.06625
19_82D_b_1	37.7123833	-118.77195
68E	39.9477167	-118.470833
84D	37.3105167	-118.180517
3F	33.82235	-111.917383
25D	35.6725833	-118.018317
36N	34.3579167	-117.608367
77B	40.61045	-119.711383
19_41G_f_1	35.6612667	-114.214483
73F	41.12605	-117.757533
45L	36.8784667	-112.647383
68B	39.94715	-118.471933
73C_bin.2	41.1244333	-117.759983
3I	33.8224833	-111.917617
